N_ppm,P_ppm,K_ppm,soil_moisture,soil_ph,temperature,humidity,rainfall,soil_type,crop,fertilizer,irrigation_mm
27.86,1.84,62.0,44.22,5.55,24.27,88.94,5.43,Silt,chili,NPK-16-16-16,1.63
67.65,41.84,27.17,75.5,6.96,31.22,,,Sandy,maize,KCl,1.95
62.14,44.78,23.87,25.88,4.7,31.65,81.55,431.87,Loamy,rice,Kapur-Dolomit,0.93
31.49,29.42,41.15,43.34,5.18,25.98,64.21,46.51,Loamy,maize,Urea,0.57
47.71,46.9,56.25,60.05,6.27,31.99,69.33,12.06,Sandy,rice,None,2.55
80.38,51.56,61.63,34.08,7.18,28.96,57.05,2.38,Loamy,rice,None,5.11
61.98,,23.78,14.62,6.0,23.15,73.13,124.67,Loamy,maize,SP-36,2.67
23.47,33.63,47.71,29.19,7.27,27.87,,11.97,Loamy,tomato,Urea,2.34
25.07,,22.66,50.01,5.64,20.98,51.4,39.63,Silt,chili,Urea,1.21
32.23,19.98,32.44,31.25,5.11,30.82,88.36,371.31,Silt,maize,NPK-16-16-16,0.0
90.97,27.73,61.17,23.17,7.04,29.61,59.06,47.0,Silt,tomato,None,4.07
47.67,38.21,82.38,41.21,6.8,34.58,63.0,37.7,Clay,shallot,None,2.96
18.13,66.02,74.03,30.36,6.49,25.35,69.85,104.94,Loamy,tomato,Urea,1.46
72.51,30.06,79.14,32.9,4.92,22.75,57.78,132.34,Clay,tomato,None,0.74
60.3,12.73,,40.55,5.34,32.49,81.73,36.16,Loamy,maize,SP-36,1.13
35.2,15.01,58.13,56.2,6.18,29.02,78.95,131.14,Silt,shallot,SP-36,0.0
29.46,26.85,15.12,40.54,4.66,29.13,88.35,263.2,Peat,tomato,Kapur-Dolomit,0.0
48.84,28.02,31.74,63.31,6.65,32.47,95.42,237.82,Silt,maize,Organik,0.0
46.52,50.97,41.24,62.3,7.27,20.78,82.59,41.71,Loamy,shallot,None,0.0
75.38,27.95,45.05,43.84,6.35,24.13,74.24,24.07,Clay,maize,None,1.15
80.22,26.7,61.13,12.86,5.72,26.62,81.01,64.22,Silt,maize,None,3.6
79.73,15.74,21.42,62.14,7.45,28.84,91.97,106.33,Loamy,maize,SP-36,0.0
,9.21,37.99,48.07,6.29,19.36,89.11,219.82,Silt,rice,SP-36,0.0
,18.25,60.22,56.8,7.07,24.55,83.69,64.58,Sandy,chili,SP-36,0.0
48.89,63.01,,5.0,5.73,33.35,78.52,88.02,Peat,rice,KCl,7.61
35.34,9.31,35.19,33.26,7.2,30.76,100.0,111.75,Loamy,maize,SP-36,2.85
100.36,44.33,67.08,22.72,7.22,21.0,66.09,66.56,Peat,tomato,None,2.65
32.0,52.02,30.68,38.19,5.42,21.89,72.84,59.83,Loamy,chili,None,1.68
26.22,32.23,55.1,63.79,7.04,36.43,72.86,24.07,Clay,maize,Urea,0.66
71.52,53.31,61.22,7.26,6.53,27.71,62.61,450.0,Loamy,tomato,None,1.37
105.54,10.54,63.93,15.59,5.75,16.8,84.5,7.63,Silt,rice,SP-36,4.71
94.93,30.19,23.92,40.38,5.1,26.64,68.61,29.58,Loamy,rice,KCl,3.74
32.78,28.59,86.87,33.33,5.36,33.46,86.62,273.78,Loamy,rice,Urea,2.34
54.15,16.25,41.26,55.38,5.76,30.56,79.09,10.44,Silt,shallot,SP-36,0.44
16.94,43.59,41.0,67.14,7.15,23.38,59.64,21.1,Loamy,tomato,Urea,0.02
115.15,40.89,67.89,89.84,6.52,19.58,75.26,29.31,Sandy,shallot,Organik,0.0
47.24,15.32,34.47,51.61,6.55,23.42,97.13,187.93,Sandy,tomato,SP-36,0.0
33.72,53.85,52.15,68.68,6.43,22.07,63.73,175.55,Loamy,chili,None,0.0
86.15,42.85,,19.11,6.11,34.51,100.0,9.27,Loamy,rice,None,7.05
41.88,34.32,48.31,45.68,5.79,23.71,75.11,33.3,Peat,maize,None,1.19
80.85,34.15,53.74,40.02,6.42,32.75,78.66,268.8,Peat,chili,None,0.0
109.2,31.41,52.42,26.7,7.0,23.43,75.8,51.4,Peat,tomato,Kapur-Dolomit,2.06
70.89,62.29,49.84,31.87,6.45,24.13,77.03,138.87,Peat,shallot,None,2.01
86.8,32.4,31.11,39.14,6.0,28.4,79.77,,Loamy,rice,None,2.96
33.2,65.47,20.37,43.1,5.58,30.88,65.1,126.81,Loamy,rice,Urea,2.2
76.77,,57.94,27.83,6.89,26.93,69.32,74.48,Peat,tomato,None,2.68
61.45,10.65,57.77,47.62,7.26,28.89,75.4,50.69,Sandy,tomato,SP-36,1.07
45.19,12.78,70.55,65.26,6.27,31.21,73.29,13.02,Silt,maize,SP-36,1.14
39.04,24.53,36.43,33.61,7.24,31.39,72.78,8.41,Clay,chili,None,3.34
96.25,5.46,60.33,38.53,6.97,39.64,68.06,52.67,Silt,shallot,SP-36,4.6
42.18,34.57,,26.27,6.88,33.88,79.88,99.32,Sandy,maize,KCl,4.61
100.93,34.24,22.61,70.29,7.02,37.71,69.69,63.97,Clay,maize,KCl,1.82
41.58,41.37,44.18,56.12,6.29,23.66,93.16,212.52,Clay,tomato,None,0.0
66.86,37.92,26.97,63.58,6.15,29.56,99.93,22.14,Clay,shallot,KCl,1.09
52.42,45.35,36.34,32.93,7.58,27.45,71.54,11.78,Clay,maize,None,3.79
72.35,23.65,36.06,42.55,7.27,23.62,80.69,,Clay,maize,None,1.0
90.68,4.81,28.37,34.01,8.2,28.96,95.24,125.53,Clay,tomato,SP-36,2.74
101.84,64.03,77.72,58.06,7.26,24.87,65.6,,Clay,rice,None,1.26
63.89,45.14,52.67,47.1,6.1,30.76,71.82,46.34,Silt,shallot,None,0.5
91.31,37.3,59.72,,7.05,22.28,77.05,41.93,Sandy,shallot,None,0.0
76.54,35.2,30.73,10.88,6.67,35.44,64.55,37.9,Loamy,tomato,None,7.27
47.6,28.88,32.01,76.81,4.8,30.43,56.71,90.4,Silt,tomato,Organik,1.09
13.59,33.1,,71.45,6.45,28.17,81.44,50.41,Loamy,tomato,Urea,0.21
,40.32,34.19,38.6,,35.71,62.01,8.34,Silt,rice,None,5.59
54.02,12.85,53.92,27.21,6.76,31.49,62.2,200.87,Silt,maize,SP-36,3.58
68.63,22.06,39.36,66.11,5.85,20.37,100.0,232.85,Clay,tomato,Organik,0.0
49.2,16.81,,50.87,4.03,31.82,66.46,171.29,Clay,chili,Kapur-Dolomit,0.0
61.08,42.08,62.38,57.35,7.48,30.03,,269.44,Sandy,maize,None,0.0
88.47,54.18,85.88,30.15,4.13,23.85,87.55,410.82,Clay,maize,Kapur-Dolomit,0.0
69.09,42.34,42.6,46.17,6.25,31.7,66.9,140.28,Silt,shallot,None,1.36
90.36,36.11,6.28,44.68,4.9,25.46,83.57,8.74,Sandy,chili,Kapur-Dolomit,0.28
98.7,16.78,,65.5,7.11,21.55,84.71,198.67,Loamy,shallot,SP-36,0.0
30.58,52.28,59.0,56.06,4.45,28.49,58.0,315.87,Clay,chili,Kapur-Dolomit,0.0
81.59,54.26,33.02,37.66,6.08,27.81,64.19,149.02,Loamy,chili,Kapur-Dolomit,1.35
102.96,52.96,22.95,38.64,5.54,20.38,68.49,,,shallot,KCl,1.42
65.69,40.1,35.0,30.11,7.35,30.58,76.9,37.35,Clay,tomato,None,2.97
8.73,45.69,24.17,55.81,6.76,26.5,69.29,,Peat,shallot,Urea,0.0
3.13,42.5,29.27,47.34,6.41,15.41,92.23,51.24,Peat,shallot,Urea,0.0
37.72,0.0,25.4,18.31,7.65,29.07,72.19,122.11,Clay,shallot,SP-36,3.87
62.12,27.56,46.06,27.05,5.42,24.7,85.97,13.73,Loamy,tomato,None,2.27
89.33,50.55,,58.52,5.43,31.93,65.15,40.81,Clay,maize,None,2.62
74.45,17.79,65.49,23.09,7.57,31.22,93.9,39.04,Sandy,tomato,SP-36,4.21
80.6,23.27,38.28,26.02,7.38,24.05,60.4,14.82,Sandy,shallot,None,2.87
62.85,10.26,17.33,48.5,6.96,23.64,50.81,53.87,Peat,rice,SP-36,1.67
42.21,46.18,59.95,59.89,6.16,30.54,66.85,55.84,Clay,tomato,None,1.55
82.73,27.02,26.32,53.34,8.18,26.22,68.14,230.06,Sandy,shallot,KCl,0.0
,25.53,40.81,30.23,6.3,26.11,88.51,64.03,Clay,tomato,None,2.16
6.76,44.94,71.07,75.74,8.81,33.42,93.17,17.98,Sandy,chili,Urea,1.48
28.94,55.74,47.4,57.45,5.82,24.68,81.32,73.26,Clay,maize,Urea,0.0
9.55,25.4,25.8,61.03,6.49,28.06,62.81,147.45,Clay,tomato,Urea,1.2
57.73,45.72,62.42,19.09,7.73,30.21,88.64,33.87,Loamy,tomato,None,3.7
25.82,20.03,37.85,29.65,4.98,31.5,79.0,62.94,Clay,chili,NPK-16-16-16,3.32
13.84,36.65,49.12,41.82,6.21,30.85,81.4,129.32,Loamy,rice,Urea,1.72
32.62,39.25,16.96,19.86,,25.89,61.39,11.81,Loamy,shallot,KCl,5.06
67.26,50.78,42.6,6.1,5.89,36.84,64.49,20.38,Silt,maize,None,8.95
61.0,25.46,50.23,36.87,6.3,28.77,73.29,80.21,Sandy,rice,None,3.33
57.72,31.98,43.09,,6.56,28.11,66.29,18.34,Sandy,rice,None,3.71
66.29,12.14,36.73,54.14,6.07,27.45,60.09,450.0,Clay,tomato,SP-36,0.0
74.67,,55.09,58.75,6.45,25.01,70.68,68.37,Sandy,shallot,None,0.0
93.22,58.24,31.66,68.95,5.51,24.05,76.64,21.39,Clay,tomato,None,0.42
33.85,53.56,60.4,45.66,7.46,31.15,86.39,41.29,Loamy,tomato,None,2.11
109.98,66.44,24.53,36.89,7.04,28.3,,52.47,Clay,rice,SP-36,3.59
44.75,2.21,68.9,46.62,8.18,27.9,67.05,68.65,Silt,maize,SP-36,2.72
66.4,,10.76,52.36,6.58,27.03,49.58,92.81,Silt,rice,KCl,1.33
66.81,48.99,57.73,34.46,4.47,28.15,65.42,62.76,Sandy,shallot,Kapur-Dolomit,1.53
57.9,38.69,35.55,45.3,7.12,35.85,85.21,29.71,Silt,tomato,None,2.63
95.27,52.06,20.89,49.3,6.55,26.01,91.85,161.08,Silt,tomato,KCl,0.18
94.62,57.93,47.53,51.55,6.09,24.26,85.23,153.09,Sandy,maize,None,0.0
71.95,70.86,6.99,47.88,3.69,32.15,72.48,23.16,Loamy,maize,Kapur-Dolomit,2.65
97.93,26.91,62.15,64.43,6.88,27.87,67.96,223.66,Loamy,rice,Organik,0.0
52.53,21.81,40.17,11.05,6.35,30.53,61.91,72.9,Loamy,tomato,None,6.08
73.92,32.89,30.37,,5.89,31.83,81.06,21.1,Loamy,tomato,None,4.91
46.45,50.74,77.39,,5.34,26.68,70.54,18.34,Loamy,tomato,None,1.02
0.0,76.78,,42.75,5.15,33.14,84.97,,,rice,Urea,3.48
79.07,37.9,51.42,42.19,6.37,31.45,76.16,39.47,Peat,rice,None,3.24
67.09,20.22,30.75,36.14,5.13,30.02,85.13,117.83,Loamy,rice,None,2.81
76.73,3.52,48.65,47.22,5.83,29.55,75.68,131.45,Sandy,maize,SP-36,0.11
55.97,21.11,75.53,34.73,6.98,25.95,59.14,259.52,Clay,rice,None,0.66
41.46,2.61,,17.41,5.59,34.28,96.39,,Silt,maize,SP-36,3.72
31.94,36.06,,50.44,8.19,26.25,54.52,14.57,Sandy,rice,Urea,2.17
71.22,34.64,47.98,42.33,7.3,29.0,75.18,,Silt,maize,None,1.04
74.06,34.0,36.6,,6.73,17.4,55.59,23.44,Peat,chili,Organik,0.4
83.45,43.84,57.22,44.01,7.04,27.05,,159.3,Loamy,tomato,None,0.45
100.3,54.18,46.89,56.8,4.99,29.77,77.6,7.91,Loamy,maize,None,0.73
60.65,35.75,43.08,25.29,5.74,27.72,63.14,48.29,Sandy,rice,None,3.73
,58.29,56.23,86.94,4.62,27.84,82.63,53.19,Loamy,tomato,Kapur-Dolomit,0.0
73.87,40.3,56.33,43.42,5.86,19.8,58.16,16.55,Sandy,chili,None,1.47
24.39,21.71,13.09,54.45,6.08,22.44,80.67,212.62,Silt,chili,NPK-16-16-16,0.0
59.18,18.91,29.45,22.33,6.07,30.11,54.48,74.0,Silt,chili,SP-36,4.88
76.92,39.03,16.52,34.84,6.64,31.96,74.53,67.12,Sandy,rice,KCl,4.1
118.92,32.01,28.75,,6.41,30.35,,11.51,Clay,tomato,Organik,2.6
48.1,39.48,44.66,33.12,5.72,28.76,81.2,7.03,Loamy,rice,None,4.64
86.04,38.58,79.88,33.13,6.13,28.95,85.63,254.19,Sandy,maize,None,1.07
59.87,47.85,62.43,23.16,7.21,28.77,59.59,228.35,Sandy,rice,None,3.6
70.49,,30.18,53.58,6.72,34.45,63.55,96.68,Sandy,rice,None,1.47
69.9,0.0,40.79,54.37,7.0,21.08,79.2,18.78,Loamy,tomato,SP-36,0.19
80.91,,46.96,,6.97,29.91,93.87,266.54,Loamy,rice,None,0.42
90.5,28.48,39.89,50.03,5.6,28.61,61.98,29.65,Loamy,shallot,None,1.83
64.42,19.06,64.62,38.31,5.7,23.89,82.56,81.15,Loamy,tomato,SP-36,1.02
63.23,41.16,45.03,55.78,6.76,27.24,87.05,18.39,Clay,shallot,None,0.0
57.74,0.46,53.41,43.58,6.72,28.24,66.64,33.02,Loamy,maize,SP-36,1.55
69.14,11.6,47.46,30.96,7.89,19.62,94.2,21.85,Loamy,rice,Organik,3.73
57.55,63.88,26.65,22.86,5.13,31.13,89.11,177.07,Silt,rice,KCl,4.26
73.54,18.5,39.6,30.27,6.46,22.98,58.23,61.43,Loamy,chili,SP-36,2.68
69.04,30.12,41.14,59.93,6.74,23.87,56.71,37.87,Loamy,tomato,None,0.0
62.33,18.77,53.27,57.52,6.04,26.05,81.92,136.64,Clay,rice,SP-36,1.03
55.92,33.42,44.02,,7.13,24.15,67.67,65.1,Clay,rice,None,4.66
83.3,42.15,54.75,56.83,4.61,29.43,65.97,340.47,Clay,maize,Kapur-Dolomit,0.0
77.46,32.27,27.65,62.27,5.87,27.93,33.66,6.77,Clay,tomato,KCl,2.62
21.88,9.87,65.48,62.23,5.21,28.93,70.46,114.53,Sandy,shallot,NPK-16-16-16,0.0
1.88,51.31,27.41,48.4,5.85,25.94,85.65,48.89,Sandy,rice,Urea,1.02
89.64,0.0,49.31,38.6,5.87,35.07,75.69,339.57,Sandy,tomato,SP-36,0.29
87.98,37.36,38.87,53.44,6.89,36.24,82.99,32.52,Clay,chili,None,1.26
20.84,19.54,73.88,30.94,7.35,27.27,61.33,13.08,Peat,chili,NPK-16-16-16,4.08
45.97,34.4,52.79,24.39,5.18,29.85,83.07,,Clay,rice,None,4.89
31.13,44.34,35.15,21.64,5.55,28.69,64.19,77.77,Peat,tomato,None,4.28
89.63,,14.36,40.48,6.19,32.3,84.95,62.95,Sandy,maize,KCl,2.22
43.91,50.69,46.01,48.11,6.11,29.64,77.13,172.38,Peat,chili,None,0.56
57.12,43.66,30.93,48.75,6.15,30.78,63.76,,Peat,maize,None,0.83
64.38,21.09,52.08,42.95,6.23,38.31,98.52,54.09,Sandy,tomato,None,3.73
75.25,22.46,26.47,47.38,6.3,31.23,58.04,48.23,Silt,maize,KCl,2.44
80.0,18.07,49.47,46.97,6.83,29.35,50.83,65.15,Clay,chili,SP-36,1.99
123.32,41.81,73.99,55.38,6.58,27.0,89.68,23.03,Loamy,maize,None,0.14
49.45,,49.5,,7.58,21.75,89.75,8.64,Clay,chili,None,2.6
59.31,54.96,39.78,43.69,6.66,25.33,78.68,12.7,Loamy,shallot,None,1.38
56.24,23.63,62.55,64.47,5.21,25.94,87.87,18.86,Loamy,shallot,Organik,0.0
55.67,48.19,18.18,51.56,7.59,28.72,89.49,284.04,Loamy,chili,KCl,0.0
69.09,22.85,51.63,35.2,6.35,23.0,,33.26,Loamy,rice,None,3.01
45.61,39.31,36.55,51.83,7.19,19.52,67.91,50.49,Silt,rice,None,1.72
35.6,56.85,22.22,36.2,6.73,25.92,72.91,,Loamy,maize,None,2.19
65.47,39.79,,44.95,6.06,27.48,72.0,37.19,Clay,shallot,None,0.19
41.94,36.74,51.23,39.99,5.52,29.24,65.47,58.23,Silt,chili,None,1.65
8.35,13.69,32.19,26.41,4.72,28.76,76.8,29.4,Loamy,rice,Kapur-Dolomit,4.41
45.62,11.46,44.89,57.32,5.55,29.21,96.08,7.49,Silt,rice,SP-36,1.25
66.2,28.75,22.72,39.94,5.77,30.91,87.89,19.93,Loamy,chili,NPK-16-16-16,2.12
48.63,37.82,46.54,37.38,6.84,26.06,79.11,19.84,Silt,shallot,None,1.9
67.57,16.35,47.19,43.06,7.97,30.24,73.0,89.24,Peat,rice,SP-36,2.96
82.44,54.56,72.45,55.4,7.83,26.9,88.7,12.43,Loamy,chili,None,1.85
82.01,47.24,36.94,30.03,5.54,22.98,65.72,450.0,Loamy,shallot,None,0.0
4.82,15.44,37.7,56.09,6.6,28.65,90.37,23.02,Sandy,shallot,NPK-16-16-16,0.0
61.68,48.15,63.84,65.49,5.32,38.16,69.49,,Sandy,shallot,None,2.32
33.3,48.42,33.21,59.82,6.77,30.73,72.79,43.16,Loamy,tomato,None,0.55
82.1,52.08,87.29,40.88,5.12,29.61,88.64,68.66,Loamy,maize,None,1.93
43.84,45.28,17.95,67.32,6.8,20.35,80.7,33.6,Clay,rice,KCl,1.36
87.54,32.92,44.24,5.56,6.07,29.32,68.6,32.34,Loamy,chili,None,5.96
,31.06,66.92,,5.31,26.02,74.76,45.3,Clay,maize,Urea,0.0
44.24,59.15,51.99,46.53,7.45,28.5,64.49,109.56,Sandy,rice,Urea,2.14
73.23,40.19,25.95,49.09,5.15,27.13,81.65,101.23,Sandy,chili,KCl,0.33
54.62,58.5,49.26,69.05,6.64,28.74,72.13,171.5,Sandy,shallot,None,0.0
56.25,73.53,62.59,28.24,6.29,31.05,,159.29,Sandy,tomato,None,2.21
86.46,50.76,54.28,38.95,6.39,31.19,81.9,1.85,Loamy,shallot,None,3.12
63.35,2.54,59.34,56.42,5.5,28.74,60.51,147.75,Clay,maize,SP-36,0.0
53.15,28.48,39.96,42.78,8.33,34.3,100.0,76.28,Sandy,rice,None,3.35
10.26,4.33,77.67,51.04,7.72,33.99,80.7,23.82,Silt,shallot,NPK-16-16-16,2.41
55.64,0.0,29.09,49.63,5.86,21.25,69.44,124.7,Peat,maize,SP-36,0.0
94.98,21.38,,20.18,7.13,26.06,72.64,31.14,Loamy,tomato,None,3.32
85.29,15.14,47.12,41.4,6.93,21.68,75.06,67.62,Sandy,shallot,SP-36,0.0
37.43,,31.24,52.07,5.64,28.37,65.63,51.77,Sandy,chili,SP-36,0.0
35.89,,52.53,38.49,5.85,40.21,60.19,,Peat,maize,None,2.36
79.22,46.53,50.27,,7.97,21.21,88.57,450.0,Peat,maize,None,0.0
45.71,48.51,46.08,39.4,3.5,30.52,70.45,,Loamy,shallot,Kapur-Dolomit,2.96
53.38,81.09,0.0,49.49,6.45,24.3,81.22,37.75,Loamy,shallot,KCl,0.0
26.44,39.99,45.16,60.01,6.36,31.68,86.71,47.47,Peat,tomato,Urea,1.63
,23.71,28.53,,6.76,29.28,74.2,4.33,Clay,tomato,None,2.8
72.85,58.39,75.16,53.01,7.09,29.75,53.16,27.46,Clay,shallot,KCl,0.97
14.53,8.75,18.14,30.21,7.98,25.62,58.35,,Peat,tomato,NPK-16-16-16,3.35
86.6,36.57,45.2,21.06,5.26,34.37,76.62,23.21,Sandy,shallot,None,6.46
69.61,38.1,30.29,12.62,7.5,30.59,70.15,180.7,Peat,rice,None,4.78
76.52,38.25,9.41,56.15,5.58,28.51,91.11,91.79,Peat,chili,KCl,0.0
66.51,25.37,42.72,68.86,5.44,34.91,49.39,66.48,Clay,maize,Organik,2.02
59.65,48.82,37.18,52.63,7.79,19.74,69.97,68.02,Sandy,chili,None,0.23
43.28,40.13,,44.47,5.55,27.44,54.53,62.04,Peat,maize,None,1.19
75.04,62.98,32.46,54.42,5.58,17.91,67.78,93.63,Silt,chili,None,0.07
70.04,9.38,49.84,71.85,5.77,29.91,67.27,87.5,Peat,shallot,SP-36,0.0
59.61,54.11,55.79,49.07,6.93,21.76,82.26,24.98,Loamy,maize,None,0.21
80.41,7.71,29.9,64.83,5.72,27.28,82.04,438.56,Clay,chili,SP-36,0.0
38.34,71.19,18.96,49.94,6.75,23.59,69.5,198.3,Peat,maize,KCl,0.0
68.8,37.81,6.57,25.0,6.6,28.4,78.34,147.24,Clay,maize,KCl,2.05
54.75,38.05,34.44,40.44,5.77,31.33,64.85,59.18,Sandy,shallot,None,1.6
21.9,14.15,64.56,38.83,8.25,35.41,76.99,18.16,Sandy,maize,NPK-16-16-16,2.91
,58.9,34.76,,7.01,25.47,91.44,23.44,Silt,rice,SP-36,4.21
93.44,36.01,62.39,36.55,4.97,23.89,72.17,4.5,Clay,rice,SP-36,3.44
48.44,0.0,51.52,5.63,5.42,26.15,81.5,51.82,Loamy,rice,SP-36,5.43
54.25,34.5,16.39,30.81,7.42,29.92,80.77,125.09,Loamy,tomato,KCl,1.27
98.78,25.12,84.73,12.81,5.62,27.65,68.88,270.14,Loamy,tomato,None,2.5
49.04,21.21,67.14,34.32,5.01,33.02,95.29,109.18,Sandy,rice,None,3.84
45.82,42.95,20.38,76.18,5.79,25.07,83.88,20.67,Peat,maize,KCl,0.0
40.68,41.49,37.44,58.69,5.51,17.37,76.74,11.1,Loamy,tomato,None,0.46
44.34,30.44,46.49,37.33,4.53,26.74,87.95,66.12,Silt,maize,Kapur-Dolomit,2.23
85.47,32.27,38.36,46.81,6.0,23.1,72.4,62.25,Loamy,maize,None,0.19
134.78,30.27,54.4,26.17,6.1,26.16,89.09,134.34,Clay,shallot,None,0.99
54.5,31.6,35.82,30.21,5.21,25.16,83.53,40.91,Silt,rice,None,4.22
88.88,39.6,62.33,79.87,5.77,33.76,67.89,11.73,Sandy,rice,Organik,3.92
85.14,32.38,52.56,39.18,7.45,26.03,75.37,,Loamy,rice,None,0.17
99.97,11.7,88.69,29.63,5.53,29.24,66.84,28.67,Sandy,tomato,SP-36,3.28
67.32,30.86,18.45,35.9,,33.58,72.98,5.9,Loamy,tomato,SP-36,2.87
29.11,,88.02,61.62,7.16,30.02,77.94,76.19,Silt,tomato,Urea,0.0
46.24,35.72,55.5,57.24,7.23,31.11,83.94,130.04,Peat,maize,None,0.0
84.51,70.74,66.1,25.93,8.7,29.39,78.26,161.17,Loamy,rice,None,3.8
,38.75,52.38,42.41,8.19,35.91,85.56,,Silt,shallot,None,2.48
46.13,19.93,32.26,57.25,6.79,24.95,75.29,28.64,Loamy,rice,SP-36,1.3
85.75,60.7,20.7,25.12,5.22,33.5,74.05,312.46,Silt,maize,KCl,1.95
72.53,59.78,29.39,29.05,6.06,26.1,93.08,31.78,Clay,shallot,None,2.3
49.4,67.23,51.07,,6.88,24.06,52.19,378.67,Silt,tomato,None,0.0
26.62,46.01,62.86,28.33,5.7,22.65,,16.7,Sandy,shallot,Urea,2.45
6.03,35.42,33.33,37.86,7.08,28.34,78.9,141.63,Clay,tomato,Urea,1.3
22.51,41.55,38.43,51.43,5.01,34.51,62.86,183.25,Loamy,chili,None,0.0
83.29,23.99,34.45,32.99,5.42,27.11,100.0,118.52,Sandy,tomato,None,0.8
29.59,24.03,67.12,40.91,5.76,39.44,69.13,50.78,Silt,rice,Urea,5.83
,42.4,31.94,55.05,7.75,21.29,73.51,,Sandy,maize,None,0.02
48.0,,48.62,49.04,5.8,28.77,79.68,151.81,Sandy,rice,None,1.48
54.7,0.0,32.22,5.0,,37.43,68.16,15.22,Clay,chili,SP-36,8.96
39.0,22.2,45.39,61.09,7.04,22.24,67.36,345.99,Sandy,shallot,SP-36,0.0
81.47,33.58,61.53,59.01,6.17,26.96,79.27,111.14,Clay,maize,None,0.0
21.5,33.19,2.76,27.79,5.62,22.68,81.07,80.48,Sandy,rice,KCl,2.25
54.32,16.66,70.27,55.65,7.25,24.42,81.87,7.31,Peat,chili,SP-36,0.0
73.58,51.29,39.23,40.46,5.62,29.48,58.82,53.15,Silt,tomato,None,1.67
36.02,19.61,46.32,49.82,5.37,27.33,84.33,104.09,Silt,rice,NPK-16-16-16,0.69
115.58,50.33,32.25,34.57,5.81,18.82,82.97,121.85,Loamy,shallot,None,0.13
68.13,39.58,83.3,54.35,4.72,28.31,63.23,162.53,Loamy,chili,Kapur-Dolomit,0.0
103.0,39.67,41.58,42.34,5.64,26.39,77.64,167.88,Loamy,maize,None,0.0
74.91,46.2,34.43,48.65,6.05,27.97,67.09,24.32,Sandy,shallot,None,2.37
42.83,45.21,40.7,38.41,5.18,22.11,54.07,20.47,Peat,chili,Kapur-Dolomit,2.66
90.97,74.11,50.81,44.06,7.91,27.13,72.42,113.78,Silt,chili,None,0.08
72.88,89.38,46.07,47.15,5.96,30.0,56.81,16.51,Loamy,chili,None,1.57
40.69,35.61,81.17,50.54,6.98,29.75,99.45,67.4,Loamy,tomato,None,0.87
27.06,24.55,75.06,66.12,,29.27,78.24,6.57,Silt,chili,Kapur-Dolomit,0.69
55.45,40.85,65.45,58.67,7.57,26.45,68.69,80.51,Sandy,rice,None,1.09
54.37,5.83,14.2,,6.9,26.17,62.28,36.03,Sandy,shallot,SP-36,3.35
81.92,39.45,39.7,23.09,5.53,21.61,64.22,90.6,Clay,tomato,Organik,3.62
37.48,29.97,53.81,8.62,4.73,24.45,67.91,12.35,Sandy,tomato,Kapur-Dolomit,5.53
39.64,32.95,18.4,56.77,5.07,22.62,86.71,33.71,Sandy,shallot,Kapur-Dolomit,0.6
51.93,40.25,76.67,27.95,5.07,34.2,58.88,49.39,Silt,maize,None,5.8
58.44,31.64,60.36,29.01,7.46,25.76,93.24,37.97,Clay,shallot,None,1.34
77.95,19.13,65.6,45.58,6.81,32.56,75.08,121.97,Loamy,tomato,SP-36,1.3
61.21,39.03,52.79,20.68,7.0,30.84,67.6,129.96,Clay,tomato,None,4.31
71.49,55.36,32.66,58.24,6.23,29.95,82.85,30.56,Sandy,rice,None,1.54
70.41,32.2,69.14,36.72,4.78,30.5,69.3,24.18,Silt,chili,Kapur-Dolomit,2.22
68.09,29.39,48.85,36.22,7.25,22.73,81.07,203.86,Clay,tomato,None,1.36
66.37,15.28,67.52,33.01,6.36,27.15,75.23,16.43,Sandy,rice,SP-36,3.33
67.19,24.05,37.55,34.53,6.94,28.75,71.08,30.36,Sandy,rice,None,3.68
62.99,41.54,25.94,37.1,6.6,25.96,87.91,82.42,Silt,maize,KCl,0.3
61.33,56.2,9.4,,7.33,28.93,68.92,387.17,Clay,tomato,KCl,1.14
59.56,51.39,48.84,38.43,6.14,31.73,77.39,4.62,Loamy,rice,NPK-16-16-16,4.28
83.73,27.18,20.03,,5.89,23.74,89.49,247.47,Clay,tomato,None,0.0
,55.1,55.14,84.77,6.4,33.0,61.05,29.64,Sandy,shallot,Urea,2.71
87.04,28.4,68.98,67.7,6.07,30.01,81.77,,Silt,chili,Organik,1.95
2.64,27.87,44.81,46.92,8.04,29.41,61.48,22.27,Sandy,shallot,Urea,0.82
65.7,54.87,48.5,40.94,5.61,33.29,76.44,,Clay,rice,None,2.33
,22.76,27.62,18.69,7.09,25.17,76.05,97.0,Sandy,chili,KCl,3.83
106.6,45.99,56.45,48.29,7.59,32.77,68.18,155.2,Loamy,rice,None,2.06
,39.36,47.27,13.04,5.66,30.73,99.12,27.66,Loamy,tomato,None,5.59
37.4,25.39,32.95,33.49,4.98,30.29,84.33,4.16,Clay,chili,Organik,2.41
47.88,34.38,39.82,26.58,6.16,23.49,79.53,,Clay,shallot,Urea,2.67
64.89,37.79,31.23,49.35,7.07,34.15,92.63,85.32,Loamy,tomato,None,1.56
37.72,28.3,33.03,20.05,7.56,26.78,79.19,34.62,Loamy,shallot,None,3.02
